=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/27/2021 3:12:22 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,2.98,n/a,n/a,n/a
0.) d. Switch to right pointer,2.48,n/a,n/a,n/a
0.) 3. Pick Up Cube,4.33,n/a,n/a,n/a
0.) 4. Deliver Cube,2.92,n/a,n/a,n/a
0.) 5. Locate Targets,7.17,n/a,n/a,n/a
0.) 6. Microphone Test,4.79,n/a,n/a,n/a
0.) 7. Sample Question(Lastly/ let's have you answer some sample questions to get used to the Info Board. Which of the following are US states?),2.26,False,Ohio;California;Germany;Wyoming;,0.67
0.) 8. Pick Up Clipboard,4.12,n/a,n/a,n/a
0.) a. Open Clipboard,4.56,n/a,n/a,n/a
0.) b. Switch clipboard hand,9.84,n/a,n/a,n/a
