=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 3/4/2021 8:03:26 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,3.97,n/a,n/a,n/a
0.) d. Switch to right pointer,2.48,n/a,n/a,n/a
0.) 3. Pick Up Cube,3.96,n/a,n/a,n/a
