=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/12/2021 3:01:41 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
1.) c. Switch to left pointer,3.62,n/a,n/a,n/a
2.) d. Switch to right pointer,2.66,n/a,n/a,n/a
0.) 3. Pick Up Cube,4,n/a,n/a,n/a
0.) 4. Deliver Cube,2.76,n/a,n/a,n/a
0.) 5. Locate Targets,5.92,n/a,n/a,n/a
0.) Microphone Event (6. Microphone Test)
 - Elapsed Time: 4.94 seconds
 - Elapsed Time: 1.7 seconds
0.) 7. Sample Question(Lastly, let's have you answer some sample questions to get used to the Info Board. Which of the following are US states?),1.7,False,,3
0.) 8. Pick Up Clipboard,6.08,n/a,n/a,n/a
0.) a. Open Clipboard,2.64,n/a,n/a,n/a
0.) b. Switch clipboard hand,2.87,n/a,n/a,n/a
0.) c. Switch clipboard hand again,3.46,n/a,n/a,n/a
0.) d. Close Clipboard,3.52,n/a,n/a,n/a
0.) a. Click to Start,2.72,n/a,n/a,n/a
