=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/27/2021 3:14:16 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,0.23,n/a,n/a,n/a
0.) d. Switch to right pointer,0.32,n/a,n/a,n/a
0.) 3. Pick Up Cube,0.21,n/a,n/a,n/a
0.) 4. Deliver Cube,0.39,n/a,n/a,n/a
0.) 5. Locate Targets,0.22,n/a,n/a,n/a
0.) 6. Microphone Test,0.48,n/a,n/a,n/a
0.) 8. Pick Up Clipboard,5.31,n/a,n/a,n/a
0.) a. Open Clipboard,2.97,n/a,n/a,n/a
0.) b. Switch clipboard hand,2.63,n/a,n/a,n/a
