=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/27/2021 3:11:23 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,3.02,n/a,n/a,n/a
0.) d. Switch to right pointer,2.8,n/a,n/a,n/a
