=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/27/2021 3:28:56 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,0.59,n/a,n/a,n/a
0.) d. Switch to right pointer,0.32,n/a,n/a,n/a
0.) c. Switch to left pointer,0.37,n/a,n/a,n/a
0.) d. Switch to right pointer,0.38,n/a,n/a,n/a
0.) 3. Pick Up Cube,0.56,n/a,n/a,n/a
0.) 4. Deliver Cube,0.25,n/a,n/a,n/a
0.) 5. Locate Targets,0.76,n/a,n/a,n/a
0.) 6. Microphone Test,0.57,n/a,n/a,n/a
