=========================
Malone University - Parkinson's VR Training
TEST OCCURED ON 1/27/2021 3:26:41 PM
=========================
eventName,elapsedTime,wasCorrect,providedAnswers,questionScore
0.) c. Switch to left pointer,3.5,n/a,n/a,n/a
0.) d. Switch to right pointer,2.78,n/a,n/a,n/a
0.) 3. Pick Up Cube,4.04,n/a,n/a,n/a
0.) 4. Deliver Cube,2.86,n/a,n/a,n/a
0.) 5. Locate Targets,7.34,n/a,n/a,n/a
0.) 6. Microphone Test,4.57,n/a,n/a,n/a
